Basin,Year,net_area_km2,net_area_unc_km2,extinction_year_est
Cayumapu,1959,0.5327763401820914,0.0,2041.65026936402
Cayumapu,1960,6.21856177508886,0.0,2041.65026936402
Cayumapu,1985,4.906240171837914,0.0,2041.65026936402
Cayumapu,1986,4.714948886189131,0.0,2041.65026936402
Cayumapu,1987,4.540121692503577,0.0,2041.65026936402
Cayumapu,1988,4.446831417227386,0.0,2041.65026936402
Cayumapu,1989,4.353541141951196,0.0,2041.65026936402
Cayumapu,1990,4.260250866675005,0.0,2041.65026936402
Cayumapu,1991,4.166960591398814,0.0,2041.65026936402
Cayumapu,1992,4.073670316122623,0.0,2041.65026936402
Cayumapu,1993,3.980380040846432,0.0,2041.65026936402
Cayumapu,1994,3.887089765570241,0.0,2041.65026936402
Cayumapu,1995,3.79379949029405,0.0,2041.65026936402
Cayumapu,1996,3.7005092150178593,0.0,2041.65026936402
Cayumapu,1997,3.607218939741669,0.0,2041.65026936402
Cayumapu,1998,3.513928664465477,0.0,2041.65026936402
Cayumapu,1999,3.4206383891892864,0.0,2041.65026936402
Cayumapu,2000,3.366942776149044,0.0,2041.65026936402
Cayumapu,2001,3.58782753818044,0.0,2041.65026936402
Cayumapu,2002,3.8162089951334384,0.0,2041.65026936402
Cayumapu,2003,4.059707754242398,0.0,2041.65026936402
Cayumapu,2004,4.094594279892247,0.0,2041.65026936402
Cayumapu,2005,3.4207018918621523,0.0,2041.65026936402
Cayumapu,2006,4.287569109000859,0.0,2041.65026936402
Cayumapu,2007,3.391148901272195,0.0,2041.65026936402
Cayumapu,2008,3.4437102839934477,0.0,2041.65026936402
Cayumapu,2009,3.4962716667147,0.0,2041.65026936402
Cayumapu,2010,3.548833049435952,0.0,2041.65026936402
Cayumapu,2011,3.324065055076772,0.0,2041.65026936402
Cayumapu,2012,3.0890547825867984,0.0,2041.65026936402
Cayumapu,2013,2.8540445100968257,0.0,2041.65026936402
Cayumapu,2014,2.625939773753545,0.0,2041.65026936402
Cayumapu,2015,2.7059945879577425,0.0,2041.65026936402
Cayumapu,2016,2.687538846722242,0.0,2041.65026936402
Cayumapu,2017,2.539171349796121,0.0,2041.65026936402
Cayumapu,2018,2.275000212205766,0.0,2041.65026936402
Cayumapu,2019,2.096032319642659,0.0,2041.65026936402
Cayumapu,2020,2.1303991283250663,0.0,2041.65026936402
Cayumapu,2021,2.195932875418432,0.0,2041.65026936402
Cayumapu,2022,1.838552771880732,0.0,2041.65026936402
Cayumapu,2023,1.8147636074256552,0.0,2041.65026936402
Cayumapu,2024,1.7299644961395526,0.0,2041.65026936402
Cruces,1959,7.482226650716755,0.0,2195.9183546644767
Cruces,1960,53.97016305652301,0.0,2195.9183546644767
Cruces,1985,52.03786982694027,0.0,2195.9183546644767
Cruces,1986,51.36984067381493,0.0,2195.9183546644767
Cruces,1987,50.81141465573235,0.0,2195.9183546644767
Cruces,1988,50.67969781981008,0.0,2195.9183546644767
Cruces,1989,50.54798098388781,0.0,2195.9183546644767
Cruces,1990,50.41626414796554,0.0,2195.9183546644767
Cruces,1991,50.28454731204327,0.0,2195.9183546644767
Cruces,1992,50.15283047612101,0.0,2195.9183546644767
Cruces,1993,50.021113640198735,0.0,2195.9183546644767
Cruces,1994,49.88939680427647,0.0,2195.9183546644767
Cruces,1995,49.7576799683542,0.0,2195.9183546644767
Cruces,1996,49.62596313243193,0.0,2195.9183546644767
Cruces,1997,49.49424629650965,0.0,2195.9183546644767
Cruces,1998,49.36252946058738,0.0,2195.9183546644767
Cruces,1999,49.23081262466511,0.0,2195.9183546644767
Cruces,2000,49.19814736754005,0.0,2195.9183546644767
Cruces,2001,49.8523832764232,0.0,2195.9183546644767
Cruces,2002,50.31681171338919,0.0,2195.9183546644767
Cruces,2003,50.39848789293539,0.0,2195.9183546644767
Cruces,2004,50.11143322925841,0.0,2195.9183546644767
Cruces,2005,48.57158220667932,0.0,2195.9183546644767
Cruces,2006,50.50159152658747,0.0,2195.9183546644767
Cruces,2007,48.00890781933399,0.0,2195.9183546644767
Cruces,2008,48.5643494298951,0.0,2195.9183546644767
Cruces,2009,49.11979104045622,0.0,2195.9183546644767
Cruces,2010,49.67523265101733,0.0,2195.9183546644767
Cruces,2011,48.73991975699453,0.0,2195.9183546644767
Cruces,2012,47.7495505886548,0.0,2195.9183546644767
Cruces,2013,46.75918142031507,0.0,2195.9183546644767
Cruces,2014,45.7985995317201,0.0,2195.9183546644767
Cruces,2015,46.16727500174048,0.0,2195.9183546644767
Cruces,2016,45.95076607745464,0.0,2195.9183546644767
Cruces,2017,45.28906089680695,0.0,2195.9183546644767
Cruces,2018,45.13669297328104,0.0,2195.9183546644767
Cruces,2019,45.25840658455913,0.0,2195.9183546644767
Cruces,2020,45.80291874523286,0.0,2195.9183546644767
Cruces,2021,42.60897304318583,0.0,2195.9183546644767
Cruces,2022,37.84658842117143,0.0,2195.9183546644767
Cruces,2023,43.67962167254026,0.0,2195.9183546644767
Cruces,2024,43.5907086826657,0.0,2195.9183546644767
Cutipay,1959,0.4358020993229055,0.0,2079.83947799877
Cutipay,1960,4.811878836347277,0.0,2079.83947799877
Cutipay,1985,2.570995814992853,0.0,2079.83947799877
Cutipay,1986,2.54382095633317,0.0,2079.83947799877
Cutipay,1987,2.5199432915003466,0.0,2079.83947799877
Cutipay,1988,2.510259656850181,0.0,2079.83947799877
Cutipay,1989,2.5005760222000157,0.0,2079.83947799877
Cutipay,1990,2.490892387549849,0.0,2079.83947799877
Cutipay,1991,2.481208752899684,0.0,2079.83947799877
Cutipay,1992,2.471525118249518,0.0,2079.83947799877
Cutipay,1993,2.461841483599352,0.0,2079.83947799877
Cutipay,1994,2.452157848949186,0.0,2079.83947799877
