Fecha,Precipitacion_mm
2009-02-01,30.8
2009-03-01,21.7
2009-04-01,81.1
2009-05-01,437.8
2009-06-01,301.2
2009-07-01,136.5
2009-08-01,421.1
2009-09-01,97.3
2009-10-01,205.0
2009-11-01,124.8
2009-12-01,81.3
2010-01-01,31.6
2010-02-01,98.4
2010-03-01,44.9
2010-04-01,9.5
2010-05-01,97.2
2010-06-01,382.9
2010-07-01,235.6
2010-08-01,258.8
2010-09-01,80.3
2010-10-01,94.4
2010-11-01,75.3
2010-12-01,82.9
2011-01-01,58.3
2011-02-01,15.4
2011-03-01,84.8
2011-04-01,163.8
2011-05-01,164.1
2011-06-01,246.2
2011-07-01,220.0
2011-08-01,276.7
2011-09-01,203.7
2011-10-01,66.5
2011-11-01,99.1
2011-12-01,20.3
2012-01-01,68.4
2012-02-01,109.5
2012-03-01,51.2
2012-04-01,35.9
2012-05-01,280.4
2012-06-01,337.2
2012-07-01,166.8
2012-08-01,194.5
2012-09-01,102.3
2012-10-01,62.5
2012-11-01,41.5
2012-12-01,291.6
2013-01-01,22.5
2013-02-01,78.6
2013-03-01,30.3
2013-04-01,140.4
2013-05-01,273.9
2013-06-01,178.0
2013-07-01,178.9
2013-08-01,260.4
2013-09-01,188.7
2013-10-01,35.5
2013-11-01,86.2
2013-12-01,20.3
2014-01-01,87.9
2014-02-01,28.3
2014-03-01,114.9
2014-04-01,56.6
2014-05-01,236.8
2014-06-01,350.6
2014-07-01,390.8
2014-08-01,162.3
2014-09-01,225.0
2014-10-01,103.8
2014-11-01,23.8
2014-12-01,20.9
2015-01-01,0.0
2015-02-01,4.5
2015-03-01,13.7
2015-04-01,126.1
2015-05-01,303.0
2015-06-01,276.0
2015-07-01,475.4
2015-08-01,380.3
2015-09-01,134.9
2015-10-01,84.3
2015-11-01,61.1
2015-12-01,65.3
2016-01-01,18.9
2016-02-01,19.7
2016-03-01,31.0
2016-04-01,154.4
2016-05-01,136.4
2016-06-01,42.7
2016-07-01,229.9
2016-08-01,260.5
2016-09-01,81.2
2016-10-01,137.5
2016-11-01,72.9
2016-12-01,86.7
2017-01-01,36.4
2017-02-01,91.6
2017-03-01,60.3
2017-04-01,105.9
2017-05-01,224.0
2017-06-01,217.9
2017-07-01,148.9
2017-08-01,419.5
2017-09-01,118.2
2017-10-01,206.9
2017-11-01,21.6
2017-12-01,54.7
2018-01-01,37.9
2018-02-01,23.0
2018-03-01,214.5
2018-04-01,191.2
2018-05-01,96.2
2018-06-01,197.6
2018-07-01,100.0
2018-08-01,266.8
2018-09-01,183.6
2018-10-01,107.2
2018-11-01,120.4
2018-12-01,31.0
2019-01-01,13.0
2019-02-01,3.4
2019-03-01,20.8
2019-04-01,41.2
2019-05-01,184.7
2019-06-01,213.2
2019-07-01,317.0
2019-08-01,97.0
2019-09-01,54.6
2019-10-01,65.6
2019-11-01,42.4
2019-12-01,18.4
2020-01-01,10.0
2020-02-01,24.8
2020-03-01,58.1
2020-04-01,104.6
2020-05-01,154.6
2020-06-01,418.4
2020-07-01,322.8
2020-08-01,135.0
2020-09-01,63.8
2020-10-01,50.0
2020-11-01,20.8
2020-12-01,38.0
2021-01-01,40.2
2021-02-01,6.6
2021-03-01,18.6
2021-04-01,102.8
2021-05-01,145.8
2021-06-01,178.6
2021-07-01,85.4
2021-08-01,175.6
2021-09-01,73.0
2021-10-01,55.0
2021-11-01,42.6
2021-12-01,24.8
2022-01-01,68.2
2022-02-01,25.4
2022-03-01,87.6
2022-04-01,171.4
2022-05-01,112.2
2022-06-01,246.0
2022-07-01,304.0
2022-08-01,145.6
2022-09-01,74.4
2022-10-01,86.2
2022-11-01,20.6
2022-12-01,26.2
2023-01-01,11.8
2023-02-01,12.8
2023-03-01,97.2
2023-04-01,82.4
2023-05-01,143.0
2023-06-01,227.4
2023-07-01,295.6
2023-08-01,187.4
2023-09-01,212.0
2023-10-01,71.0
2023-11-01,111.6
2023-12-01,16.4
2024-01-01,0.2
2024-02-01,26.0
2024-03-01,96.8
2024-04-01,154.6
2024-05-01,157.8
2024-06-01,352.2
2024-07-01,81.6
2024-08-01,89.2
2024-09-01,200.2
2024-10-01,27.2
2024-11-01,85.0
2024-12-01,9.4
2025-01-01,27.0
2025-02-01,34.4
2025-03-01,83.2
2025-04-01,154.2
2025-05-01,55.0
